"addresses__address1","addresses__address2","addresses__city","addresses__state","addresses__postalCode","addresses__coordinates__lat","addresses__coordinates__lng","attribution"
"7645 Marshall Street","","Arvada","CO","80003","39.835952","-105.070063",""
"717 Joseph Avenue","","Nashville","TN","37207","36.183641","-86.772214",""
"2106 Standard Avenue","","Louisville","KY","40210","38.231378","-85.7922619",""
"316 20th Street Northeast","","Washington","DC","20002","38.8939527","-76.97642739999999",""
"227 West Montgomery Cross Road","#736","Savannah","GA","31406","31.998812","-81.134464",""
"310 12th Avenue","","Santa Cruz","CA","95062","36.963154","-121.994045",""
"2685 California Street","#APT 305","Mountain View","CA","94040","37.4068693","-122.1129728",""
"6460 Vermont 113","","Vershire","VT","05079","43.9678972","-72.3154863",""
"8404 South Villa Avenue","","Oklahoma City","OK","73159","35.3818163","-97.5570041",""
"7030 West Krall Street","","Glendale","AZ","85303","33.534067","-112.210763",""
"189 Dalton Avenue","","Pittsfield","MA","01201","42.459217","-73.22532799999999",""
"2455 Manchester Drive","","The Village","OK","73120","35.576392","-97.55644629999999",""
"2405 230th Street","","Pasadena","MD","21122","39.12585","-76.549013",""
"589 East Main Street","","Newport","VT","05855","44.943275","-72.19193299999999",""
"1520 H Street Northwest","","Washington","DC","20006","38.90021429999999","-77.0351541",""
"4603 Grant Street Northeast","","Washington","DC","20019","38.8983173","-76.9364561",""
"171 Brickhill Circle","","Pooler","GA","31322","32.175349","-81.25099",""
"607 North 46th Avenue","","Fayetteville","AR","72704","36.0741371","-94.22645829999999",""
"9134 Brook Park Drive","","Montgomery","AL","36117","32.3076534","-86.1451185",""
"2134 West Mills Drive","","Orange","CA","92868","33.786584","-117.875665",""
"2 Cockle Shell Road","","Savannah","GA","31419","31.960368","-81.229034",""
"1431 King George Boulevard","#21-C","Savannah","GA","31419","31.9775273","-81.2259819",""
"1804 Calhoun Avenue","","Panama City","FL","32405","30.181413","-85.693748",""
"23 Florida Avenue Northeast","","Washington","DC","20002","38.910125","-77.00808099999999",""
"5630 Silverado Way","#STE A8","Anchorage","AK","99518","61.1695128","-149.8896842",""
"11300 Lillian Lane","","Anchorage","AK","99515","61.11845399999999","-149.881223",""
"2209 East Manor Drive","","Fayetteville","AR","72701","36.075132","-94.12903399999999",""
"8325 Northwest 19th Street","","Oklahoma City","OK","73127","35.48856","-97.66233199999999",""
"6925 Lariat Lane","","Castro Valley","CA","94552","37.7157257","-122.0270913",""
"6721 Boundary Run","","Nashville","TN","37221","36.087655","-87.006136",""
"1700 William E Summers III Avenue","#201","Louisville","KY","40211","38.22952540000001","-85.82045680000002",""
"14 6th Street","#1","Medford","MA","02155","42.4074868","-71.07807670000001",""
"11865 West 74th Avenue","","Arvada","CO","80005","39.830545","-105.131624",""
"912 Countryside Lane","","Montgomery","AL","36117","32.404751","-86.18589899999999",""
"6080 Frontier Lane","","Nashville","TN","37211","36.030597","-86.73436",""
"1124 Bluewillow Court","","Nashville","TN","37013","36.040783","-86.577798",""
"17722 North 79th Avenue","#1135","Glendale","AZ","85308","33.646496","-112.2317614",""
"6 Oak Street","","Town of Rockingham","VT","05101","43.134108","-72.449474",""
"1537 Northwest 123rd Street","","Oklahoma City","OK","73120","35.5961896","-97.53951699999999",""
"10001 Pheasant Lane","","Oklahoma City","OK","73162","35.571646","-97.63995700000001",""
"10340 West 62nd Place","","Arvada","CO","80004","39.8101545","-105.1135667",""
"52 Oleary Drive","","Manchester","CT","06040","41.7716925","-72.5521002",""
"15082 North 59th Avenue","#111","Glendale","AZ","85306","33.6231673","-112.1871757",""
"7047 Vinson Road","","Panama City","FL","32413","30.336868","-85.829662",""
"200 Edson Road","","Windham","VT","05359","43.2215166","-72.7049368",""
"150 Manistee Drive","","Panama City Beach","FL","32413","30.235428","-85.89155099999999",""
"2335 Orchard View Lane","","Escondido","CA","92027","33.119461","-117.007959",""
"65 Clark Street","#2","Newton","MA","02459","42.321396","-71.1995577",""
"18318 Pioneer Drive","","Anchorage","AK","99577","61.364421","-149.540056",""
"110 Elmwood Avenue","","Barre","VT","05641","44.2097089","-72.50493600000001",""
"4800 Huffman Road","","Anchorage","AK","99516","61.10827899999999","-149.791977",""
"8219 Minor Lane","#9","Louisville","KY","40219","38.12841","-85.7107249",""
"10129 Spring Gate Drive","","Louisville","KY","40241","38.312891","-85.562299",""
"65 Arcellia Drive","","Manchester","CT","06042","41.788139","-72.491989",""
"12460 West Solano Drive","","Litchfield Park","AZ","85340","33.520308","-112.3275521",""
"618 Watts Street","","Montgomery","AL","36104","32.37152700000001","-86.294285",""
"5805 Armada Drive","","Carlsbad","CA","92008","33.1238541","-117.3152497",""
"1644 Queenstown Road","","Nichols Hills","OK","73116","35.542511","-97.547282",""
"143 Main Street","","Manchester","CT","06042","41.7886316","-72.52390249999999",""
"226 Tranquility Lane","","Saint Albans Town","VT","05488","44.8389381","-73.18372149999999",""
"831 21st Street Northeast","","Washington","DC","20002","38.9011079","-76.974034",""
"22825 Paseo Place","","Hayward","CA","94541","37.6678961","-122.0832649",""
"2902 Flint Street","","Union City","CA","94587","37.60442","-122.069607",""
"919 Windsor Avenue","","Annapolis","MD","21403","38.968518","-76.4905689",""
"6041 North 72nd Lane","","Glendale","AZ","85303","33.525117","-112.215039",""
"163 Highwood Drive","","Manchester","CT","06040","41.76664299999999","-72.490877",""
"1334 East 14th Avenue","#APT 000004","Anchorage","AK","99501","61.208547","-149.857294",""
"223 Goose Pond Road","","Fairfax","VT","05454","44.653053","-72.971587",""
"1021 North Center Avenue","","Panama City","FL","32401","30.1670475","-85.6292984",""
"1559 Alabama Avenue Southeast","","Washington","DC","20032","38.8467679","-76.98076200000001",""
"1238 Roanwood Way","","Concord","CA","94521","37.94042","-121.944464",""
"2068 Happy Lane","","Crofton","MD","21114","39.013318","-76.6754904",""
"5378 Allison Street","#102","Arvada","CO","80002","39.7944109","-105.0860024",""
"4604 Virginia Loop Road","","Montgomery","AL","36116","32.314591","-86.24074999999999",""
"7711 North 51st Avenue","#1180","Glendale","AZ","85301","33.5502243","-112.1665731",""
"343 Daman Drive","","Montgomery","AL","36108","32.2999","-86.342286",""
"3623 Chateau Lane","","Louisville","KY","40219","38.1473803","-85.6954641",""
"2619 North Quality Lane","#315","Fayetteville","AR","72703","36.09925399999999","-94.164274",""
"5334 West Northern Avenue","#327","Glendale","AZ","85301","33.5535111","-112.1747068",""
"3835 Oakes Drive","","Hayward","CA","94542","37.661345","-122.032784",""
"295 Townes Drive","","Nashville","TN","37211","36.052158","-86.70206900000001",""
"125 13th Street Northeast","","Washington","DC","20002","38.891265","-76.988068",""
"7308 Northwest 119th Street","","Oklahoma City","OK","73162","35.592396","-97.643619",""
"1911 East 58th Avenue","","Anchorage","AK","99507","61.16876999999999","-149.847225",""
"22649 McManus Drive","","Anchorage","AK","99567","61.418189","-149.460766",""
"4617 East 3rd Street","","Panama City","FL","32404","30.129243","-85.606926",""
"6436 Stoney Point Road","","Panama City","FL","32404","30.266241","-85.599245",""
"2577 Rhode Island Avenue Northeast","","Washington","DC","20018","38.931902","-76.969579",""
"44 Campfield Road","","Manchester","CT","06040","41.768442","-72.540232",""
"7132 South Villa Avenue","","Oklahoma City","OK","73159","35.392665","-97.5569639",""
"107 West Canton Circle","","Springfield","MA","01104","42.144682","-72.57098599999999",""
"14358 West 88th Place","C","Arvada","CO","80005","39.8568436","-105.161713",""
"2100 Sandy Creek Trail","","Edmond","OK","73013","35.63330699999999","-97.509911",""
"6404 West 82nd Drive","","Arvada","CO","80003","39.846475","-105.067397",""
"1609 Porter Avenue","","Nashville","TN","37206","36.196292","-86.725028",""
"8421 Thomas Drive","#4","Panama City","FL","32408","30.165178","-85.78605",""
"116 Frost Park","","Hartford","VT","05001","43.6692262","-72.3088865",""
"132 Tensaw Road","","Montgomery","AL","36117","32.384289","-86.147064",""
"3147 West Old Farmington Road","","Fayetteville","AR","72704","36.0531475","-94.2055113",""
"3538 Mendenhall Court","","Pleasanton","CA","94588","37.6991919","-121.85909",""
"1623 Mines Road","","Lowell","VT","05847","44.795108","-72.48690599999999",""
"99 Pond Avenue","#606","Brookline","MA","02445","42.3293159","-71.1152839",""
"557 West Willoughby Road","","Fayetteville","AR","72701","36.019975","-94.16828199999999",""
"309 Brooke Court","","Panama City","FL","32404","30.1536175","-85.5881338",""
"4696 Bull Run Road","","Ashland City","TN","37015","36.241285","-86.940741",""
"18330 North 79th Avenue","#3155","Glendale","AZ","85308","33.6487128","-112.2313289",""
"5601 West Missouri Avenue","#165","Glendale","AZ","85301","33.5152999","-112.179748",""
"2903 West 31st Avenue","#APT 000002","Anchorage","AK","99517","61.192819","-149.937665",""
"2611 Bluefield Avenue","","Nashville","TN","37214","36.16786","-86.670203",""
"203 East Gwinnett Street","","Savannah","GA","31401","32.06637","-81.093895",""
"3517 S Street Northwest","","Washington","DC","20007","38.914807","-77.070229",""
"1123 Ardee Avenue","","Nashville","TN","37216","36.219121","-86.725616",""
"3811 W Street Southeast","","Washington","DC","20020","38.8629369","-76.9515086",""
"2130 Loren Circle","","Fayetteville","AR","72701","36.071889","-94.191613",""
"4 Orchard Street","","Manchester","CT","06040","41.7747","-72.5247351",""
"4755 Coventry Road","","Montgomery","AL","36116","32.318132","-86.28353",""
"1806 Boscobel Street","","Nashville","TN","37206","36.170799","-86.73835299999999",""
"7034 West John Garrison Road","","Fayetteville","AR","72704","36.107097","-94.2619139",""
"233 Juniper Drive","","South Burlington","VT","05403","44.473457","-73.176118",""
"1831 Frankford Avenue","","Panama City","FL","32405","30.181993","-85.692285",""
"4924 West 65th Avenue","","Arvada","CO","80003","39.8146604","-105.050343",""
"7095 Gladiola Street","","Arvada","CO","80004","39.824892","-105.162799",""
"7564 Moore Court","","Arvada","CO","80005","39.834188","-105.11569",""
"8442 Everett Way","A","Arvada","CO","80005","39.850942","-105.096599",""
"1330 West 82nd Avenue","","Anchorage","AK","99518","61.147676","-149.905329",""
"4907 Roger Drive","","Anchorage","AK","99507","61.17564799999999","-149.839627",""
"123 Blossom Road","","Westport","MA","02790","41.68531","-71.0961337",""
"915 Hargrove Street","","Ardmore","OK","73401","34.184371","-97.13386190000001",""
"1983 Reidsville Street","","Annapolis","MD","21401","38.9817243","-76.5313745",""
"12403 Deerfield Road","","Savannah","GA","31419","31.977229","-81.145139",""
"1011 Devon Drive","","Hayward","CA","94542","37.65444100000001","-122.067741",""
"5222 West Laurie Lane","","Glendale","AZ","85302","33.5587639","-112.172235",""
"35 Pilgrim Lane","","Manchester","CT","06040","41.772138","-72.498806",""
"2728 Hale Avenue","","Louisville","KY","40211","38.2390813","-85.79926999999999",""
"65 Lowry Road","","Falmouth","MA","02540","41.5471365","-70.6075836",""
"302 Depot Road","","Boxborough","MA","01719","42.5013","-71.49441",""
"1402 Maggies Way","","Waterbury Center","VT","05677","44.410965","-72.71017499999999",""
"81 Lyness Street","","Manchester","CT","06040","41.76787789999999","-72.5443361",""
"6518 Dolphin Court","","Glen Burnie","MD","21061","39.198769","-76.63721",""
"1842 West Park Place","","Oklahoma City","OK","73106","35.4795219","-97.5431009",""
"1 Pond View Road","","Proctor","VT","05765","43.663678","-73.0458419",""
"1340 5th Street Northwest","","Washington","DC","20001","38.907549","-77.018924",""
"6000 Parker Drive","","Deale","MD","20751","38.780208","-76.539991",""
"822 Bowden Street","","Savannah","GA","31415","32.071342","-81.11783199999999",""
"1710 East Harold Street","","Fayetteville","AR","72703","36.109875","-94.1359389",""
"1518 Jenks Avenue","","Panama City","FL","32405","30.1765819","-85.662077",""
"814 South Pickard Avenue","","Norman","OK","73069","35.206961","-97.45494099999999",""
"100 Fenwick Village Drive","","Savannah","GA","31419","32.0244412","-81.23017689999999",""
"218 Middle Street","","Brighton","VT","05846","44.818438","-71.8846049",""
"5470 Atlanta Highway","","Montgomery","AL","36109","32.3802399","-86.21232959999999",""
"43 Main Street","","Essex","VT","05452","44.4921","-73.1074749",""
"804 East 7th Court","","Panama City","FL","32401","30.161259","-85.648719",""
"1709 Queensbury Road","","Moore","OK","73160","35.3546959","-97.507938",""
"646 Clinton Street","","Montgomery","AL","36108","32.3602725","-86.3183004",""
"708 Pine Drift Drive","","Odenton","MD","21113","39.070589","-76.715406",""
"5104 West Tierra Buena Lane","","Glendale","AZ","85306","33.62898759999999","-112.168811",""
"1234 Carmel Street","","Madera","CA","93638","36.949941","-120.043739",""
"1753 Zion Road","#E33","Fayetteville","AR","72703","36.1273162","-94.1350437",""
"22538 6th Street","","Hayward","CA","94541","37.680829","-122.07335",""
"415 Lullwater Drive","","Panama City Beach","FL","32413","30.22177929999999","-85.8841423",""
"219 Bidwell Street","","Manchester","CT","06040","41.761322","-72.5498278",""
"4500 Margalo Avenue","","Bakersfield","CA","93313","35.305082","-119.052448",""
"8380 West 67th Avenue","","Arvada","CO","80004","39.817999","-105.090301",""
"2334 Nantucket Drive","","Crofton","MD","21114","39.0298609","-76.67307600000001",""
"720 East Muhammad Ali Boulevard","","Louisville","KY","40202","38.2491941","-85.7396682",""
"12022 Town Park Circle","","Anchorage","AK","99577","61.32927710000001","-149.5778193",""
"2305 Ranchland Drive","","Savannah","GA","31404","32.026112","-81.0755779",""
"1656 Newton Street Northwest","","Washington","DC","20010","38.933985","-77.03866099999999",""
"91 85th Avenue","","Fayetteville","AR","72704","36.064165","-94.285358",""
"228 Central Street","","Milford","MA","01757","42.13911","-71.5115022",""
"20 Masters Way","","Manchester","CT","06040","41.740694","-72.51832",""
"5396 North Reese Avenue","","Fresno","CA","93722","36.815278","-119.864119",""
"28 Wilfred Road","","Manchester","CT","06040","41.766696","-72.5597335",""
"200 Pheasant Avenue","#103","Louisville","KY","40118","38.1134628","-85.76321279999999",""
"1650 Garland Avenue","","Fayetteville","AR","72703","36.0845144","-94.1751065",""
"4600 Ritchie Highway","","Baltimore","MD","21225","39.228241","-76.6136159",""
"733 East DeRenne Avenue","","Savannah","GA","31405","32.024217","-81.095602",""
"8349 West Stella Way","","Glendale","AZ","85305","33.529493","-112.240632",""
"33 Pond Avenue","#804","Brookline","MA","02445","42.33094200000001","-71.1145331",""
"9 Kimball Court","#107","Burlington","MA","01803","42.501798","-71.168725",""
"2433 Southwest 36th Street","","Oklahoma City","OK","73109","35.42839900000001","-97.556119",""
"4607 Artelia Drive","","Nashville","TN","37013","36.071468","-86.675555",""
"212 Ambleside Drive","","Severna Park","MD","21146","39.097022","-76.55617699999999",""
"8757 Lamar Circle","","Arvada","CO","80003","39.8557446","-105.0681477",""
"130 Carolina Cherry Circle","","Pooler","GA","31322","32.1485911","-81.2620116",""
"7804 Abercorn Street","#11","Savannah","GA","31406","32.00192","-81.11689830000002",""
"12870 Old Seward Highway","#STE 000105","Anchorage","AK","99515","61.10396369999999","-149.8575515",""
"8133 Meadowgreen Place","","Louisville","KY","40299","38.1899697","-85.60704779999999",""
"5 Meadow Lane","","Rutland","VT","05701","43.619797","-72.983231",""
"562 South Pierremont Drive","","Fayetteville","AR","72701","36.05627330000001","-94.1251461",""
"1219 Carleton Street","M","Berkeley","CA","94702","37.8591054","-122.285823",""
"1403 Boulder Court","","Hanover","MD","21076","39.140743","-76.69958",""
"122 Coral Drive","","Panama City Beach","FL","32413","30.233822","-85.89228399999999",""
"1404 James Way","","Edgewater","MD","21037","38.8879642","-76.5100926",""
"4300 Woodley Square","","Montgomery","AL","36116","32.3269015","-86.2695368",""
"422 Richmond Street","","El Cerrito","CA","94530","37.9028101","-122.2981152",""
"222 Plymouth Street","A","Middleborough","MA","02346","41.928117","-70.9416075",""
"451 East Street","","Huntington","VT","05462","44.3194104","-72.9844982",""
"9209 Eupora Court","","Jeffersontown","KY","40299","38.1970417","-85.58631430000001",""
"4 Conti Circle","","Barre","VT","05641","44.1731699","-72.4920951",""
"5264 Shafter Avenue","","Oakland","CA","94618","37.839058","-122.256035",""
"1630 Eton Way","","Crofton","MD","21114","39.008958","-76.69134199999999",""
"5244 West Port Au Prince Lane","","Glendale","AZ","85306","33.622672","-112.17283",""
"1835 Pointer Lane","","Fayetteville","AR","72701","36.08606899999999","-94.1187549",""
"107 Laurel Green Court","","Savannah","GA","31419","32.025628","-81.24673399999999",""
"7250 Urban Drive","","Arvada","CO","80005","39.827875","-105.133965",""
"12 Kane Road","","Manchester","CT","06040","41.764315","-72.51276",""
"4132 Northwest 57th Street","","Oklahoma City","OK","73112","35.529164","-97.594155",""
"10774 West 54th Lane","","Arvada","CO","80002","39.7963587","-105.11861",""
"6729 North 54th Avenue","","Glendale","AZ","85301","33.536068","-112.17458",""
"6483 West 76th Avenue","","Arvada","CO","80003","39.834927","-105.069802",""
"5732 Jean Drive","","Union City","CA","94587","37.580691","-122.082773",""
"8221 Surf Drive","","Panama City","FL","32408","30.1630986","-85.7845665",""
"9101 Vanguard Drive","","Anchorage","AK","99507","61.1382426","-149.84756",""
"18713 Shilstone Way","","Edmond","OK","73012","35.6618776","-97.53426999999999",""
"51185 Helmsman Street","","Kenai","AK","99611","60.509562","-151.265293",""
"128 East Oak Street","#3","Louisville","KY","40203","38.2342125","-85.7539867",""
"1222 Arcade Boulevard","","Sacramento","CA","95815","38.626122","-121.43861",""
"1405 Mercedes Avenue","APARTMENT G","Panama City","FL","32401","30.1738039","-85.6462091",""
"7024 Johnny Mercer Boulevard","","Savannah","GA","31410","32.022447","-80.969861",""
"3600 Pennsylvania Avenue","#APT 6","Fremont","CA","94536","37.5516245","-121.9872735",""
"312 North Cove Boulevard","","Panama City","FL","32401","30.1520433","-85.6500713",""
"3118 Sora Avenue","","Louisville","KY","40213","38.208849","-85.724113",""
"6420 Via Baron","","Rancho Palos Verdes","CA","90275","33.741162","-118.390767",""
"3321 Furman Boulevard","","Louisville","KY","40220","38.2134349","-85.640439",""
"98 Lincoln Street","","Revere","MA","02151","42.418115","-71.027503",""
"984 Greendale Avenue","","Needham","MA","02492","42.275811","-71.203287",""
"239 Eastern Avenue","","Fayetteville","AR","72701","36.0605438","-94.18373079999999",""
"1106 Commanders Way South","","Annapolis","MD","21409","39.033352","-76.447767",""
"4927 Alvin Sperry Road","","Mount Juliet","TN","37122","36.143557","-86.556877",""
"1632 North Lunsford Avenue","","Fayetteville","AR","72701","36.0827979","-94.137607",""
"2349 East Tall Oaks Drive","","Fayetteville","AR","72703","36.09277","-94.12758799999999",""
"2036 Hermitage Hills Drive","","Gambrills","MD","21054","38.9951","-76.65160999999999",""
"119 Oakland Street","","Manchester","CT","06042","41.7976637","-72.5199944",""
"37675 Fremont Boulevard","#APT 42","Fremont","CA","94536","37.555306","-122.003412",""
"3104 Southwest 46th Street","","Oklahoma City","OK","73119","35.4186213","-97.56952249999999",""
"2036 Gorgas Street","","Montgomery","AL","36106","32.357301","-86.276583",""
"11102 Little Rock Court","","Louisville","KY","40241","38.3214271","-85.5421016",""
"46 Deslauriers Street","","Chicopee","MA","01020","42.1855005","-72.5733508",""
"12 Red Fox Drive","","Savannah","GA","31419","31.981396","-81.22833899999999",""
"503 Blackwood Terrace Southeast","","Calhoun","GA","30701","34.459017","-84.914659",""
"2223 North Fernwood Court","","Savannah","GA","31404","32.029307","-81.06297099999999",""
"5444 Nicole Boulevard","","Panama City","FL","32404","30.238007","-85.562274",""
"849 East Victoria Street","#204","Carson","CA","90746","33.8673562","-118.2597713",""
"445 South Potomac Circle","","Aurora","CO","80012","39.705341","-104.830397",""
"201 East 9th Avenue","#APT 000102","Anchorage","AK","99501","61.213897","-149.880633",""
"3500 15th Street Northeast","","Washington","DC","20017","38.93311000000001","-76.98485699999999",""
"4981 Shirley Way","","Livermore","CA","94550","37.682649","-121.733308",""
"1300 Lemos Lane","","Fremont","CA","94539","37.546996","-121.951627",""
"5000 V Street Northwest","","Washington","DC","20007","38.917076","-77.09743399999999",""
"6823 Forsythe Drive","","Panama City","FL","32404","30.12332199999999","-85.571428",""
"1522 South 36th Street","","Louisville","KY","40211","38.231691","-85.8144612",""
"313 Lone Oak Drive","","Norman","OK","73071","35.221084","-97.405029",""
"970 Old Oak Road","","Livermore","CA","94550","37.653774","-121.796632",""
"1653 Brooks Avenue","","Fayetteville","AR","72701","36.04687","-94.17589699999999",""
"441 Merritt Avenue","","Oakland","CA","94610","37.8058663","-122.2493644",""
"632 North Pine Street","","Anchorage","AK","99508","61.22930220000001","-149.7938547",""
"112 Walnut Street","","Reading","MA","01867","42.5079719","-71.1110286",""
"4231 Laurel Street","#APT 000101","Anchorage","AK","99508","61.1819427","-149.8341093",""
"73 Lower Main Street","","Morristown","VT","05661","44.561367","-72.59975399999999",""
"2206 Skidaway Road","","Savannah","GA","31404","32.045721","-81.063795",""
"6818 North Lagoon Drive","","Panama City","FL","32408","30.159839","-85.76199",""
"1061 Sumatra Street","","Hayward","CA","94544","37.628092","-122.072806",""
"4214 Ashleywood Court","","Louisville","KY","40241","38.30509","-85.610241",""
"3612 Jim Robison Drive","","Edmond","OK","73013","35.6196504","-97.4676195",""
"1318 4th Street Southwest","","Washington","DC","20024","38.8742671","-77.0175514",""
"2237 Northwest 18th Street","","Oklahoma City","OK","73107","35.4882133","-97.5513414",""
"96 Green Manor Road","","Manchester","CT","06042","41.789265","-72.5004359",""
"68 Route 66","","","VT","05149","43.399335","-72.727942",""
"954 Dowler Drive","","Eureka","CA","95501","40.7999306","-124.1449823",""
"37600 Sycamore Street","","Newark","CA","94560","37.5261943","-122.0304698",""
"2195 Cantelou Road","","Montgomery","AL","36108","32.308832","-86.460094",""
"1783 Blakely Road","","Colchester","VT","05446","44.52978","-73.18901",""
"218 Oleander Drive","","Panama City Beach","FL","32413","30.248032","-85.936684",""
"7701 Taylor Oaks Circle","","Montgomery","AL","36116","32.3252595","-86.1815349",""
"6880 Xavier Circle","#2","Westminster","CO","80030","39.8178299","-105.0501421",""
"16040 North 67th Drive","","Peoria","AZ","85382","33.63178500000001","-112.203607",""
"6328 West Brown Street","","Glendale","AZ","85302","33.578369","-112.19603",""
"36528 Short Circle","","Kenai","AK","99611","60.510223","-151.248721",""
"22062 Cameron Street","","Castro Valley","CA","94546","37.6887201","-122.0675144",""
"3871 Galactica Drive","","Anchorage","AK","99517","61.191509","-149.955863",""
"6373 West Golden Lane","","Glendale","AZ","85302","33.5652702","-112.1968756",""
"1709 Vineyard Trail","","Annapolis","MD","21401","39.011135","-76.533643",""
"25 Edwards Street","","Manchester","CT","06042","41.7969434","-72.52201939999999",""
"1516 Buchanan Street Northwest","","Washington","DC","20011","38.945858","-77.03528399999999",""
"42 Edison Road","","Manchester","CT","06040","41.780963","-72.55426299999999",""
"8423 Pioneer Drive","","Severn","MD","21144","39.117099","-76.707649",""
"Career Avenue","","Washington","DC","20032","38.816936","-77.0118251",""
"16133 Hillsborough Boulevard","","Port Charlotte","FL","33954","27.0328058","-82.1845786",""
"5209 North Dewey Avenue","","Oklahoma City","OK","73118","35.5236238","-97.5221829",""
"7573 National Drive","","Livermore","CA","94550","37.70168","-121.701526",""
"5300 Robinwood Road","","Louisville","KY","40218","38.1741616","-85.6677282",""
"8202 Dudley Way","","Arvada","CO","80005","39.846117","-105.094914",""
"6624 Strawberry Lane","","Louisville","KY","40214","38.160651","-85.761636",""
"8820 Culebra Street","","Arvada","CO","80007","39.8547193","-105.2138111",""
"3440 Brookhaven Road","","Pasadena","MD","21122","39.127619","-76.5278441",""
"2894 Music Avenue","","Grand Junction","CO","81506","39.097082","-108.516175",""
"7041 Coe Road","","Panama City","FL","32404","30.2716997","-85.5325422",""
"3516 North Virginia Avenue","","Oklahoma City","OK","73118","35.506105","-97.54442800000001",""
"23501 Ida Lane","","Hayward","CA","94541","37.660696","-122.100733",""
"11401 Totem Road","","Anchorage","AK","99516","61.11746900000001","-149.78023",""
"6928 North 87th Lane","","Glendale","AZ","85305","33.536569","-112.248376",""
"1501 New Hampshire Avenue","","Lynn Haven","FL","32444","30.2361205","-85.6624582",""
"190 Church Street","","Burlington","VT","05401","44.47490699999999","-73.21218499999999",""
"1417 Stoneykirk Road","","Pelham","AL","35124","33.26972","-86.756497",""
"1112 Flat Rock Road","","Louisville","KY","40245","38.251812","-85.43454",""
"1800 East 63rd Street","","Savannah","GA","31404","32.031138","-81.08280099999999",""
"100 Birney Street","#A6","Peabody","MA","01960","42.521093","-70.92979300000002",""
"29 Vista Flores","","Pleasanton","CA","94566","37.6681878","-121.8514835",""
"6601 North 62nd Avenue","","Glendale","AZ","85301","33.5333295","-112.1924919",""
"37 Parlmont Park","","Billerica","MA","01862","42.5725656","-71.2754739",""
"8390 Alkire Street","","Arvada","CO","80005","39.849286","-105.1465489",""
"2313 Mansfield Avenue","","Del City","OK","73115","35.4413434","-97.4554773",""
"58 North Cove Road","","Burlington","VT","05408","44.5281054","-73.2713107",""
"1918 Spruce Street","","Boulder","CO","80302","40.020499","-105.270443",""
"3110 East Victory Drive","","Savannah","GA","31404","32.035625","-81.054075",""
"523 10th Street","","Greeley","CO","80631","40.4229185","-104.6865623",""
"707 Harrisburg Drive","","Davidsonville","MD","21035","38.935404","-76.616028",""
"1317 Allison Street Northeast","","Washington","DC","20017","38.9450474","-76.9877206",""
"9506 Civic Way","#203","Prospect","KY","40059","38.3213458","-85.5638547",""
"105 Ridgecrest Court","","Panama City","FL","32405","30.198864","-85.66109",""
"35 Pilot Knob Lane","#204","Telluride","CO","81435","37.951268","-107.855574",""
"210 Depot Street","","Woodford","VT","05201","42.88266","-73.198891",""
"65 Hilltop Lane","","McKinleyville","CA","95519","40.895179","-124.004128",""
"112 West Center Street","#210","Fayetteville","AR","72701","36.0628641","-94.1610298",""
"5650 West 60th Avenue","A","Arvada","CO","80003","39.804868","-105.058319",""
"619 Colusa Avenue","","Berkeley","CA","94707","37.896256","-122.284523",""
"1879 South Cherry Hills Drive","","Fayetteville","AR","72701","36.042359","-94.10679999999999",""
"31 Baileys Mills Road","","Reading","VT","05062","43.4905011","-72.555213",""
"313 Monroe Street","","Montgomery","AL","36104","32.379042","-86.30467",""
"196 Ruth Street","","Farmington","AR","72730","36.045747","-94.23354599999999",""
"52 Linnmore Drive","","Manchester","CT","06040","41.7771997","-72.54669779999999",""
"6234 West 68th Circle","","Arvada","CO","80003","39.8202664","-105.0654538",""
"4920 Quonset Drive","","Sacramento","CA","95820","38.530987","-121.417033",""
"318 Lydall Street","","Manchester","CT","06042","41.79475","-72.49465099999999",""
"16412 Eastwood Cut Off Road","","Louisville","KY","40245","38.2344531","-85.4476466",""
"722 Oak Grove Circle","","Severna Park","MD","21146","39.069901","-76.52649699999999",""
"90 Mountain Street","","Bristol","VT","05443","44.140656","-73.07712599999999",""
"138 Bolton Street","","Manchester","CT","06040","41.78313","-72.53699800000001",""
"5011 West New World Drive","","Glendale","AZ","85302","33.566608","-112.16661",""
"600 Crosby Boulevard","","Midwest City","OK","73110","35.4588784","-97.41534899999999",""
"421 Madison Street Northeast","","Washington","DC","20011","38.9590441","-76.9999168",""
"7301 Northwest 113th Terrace","","Oklahoma City","OK","73162","35.585617","-97.6430479",""
"190 Exchange Street","","Lawrence","MA","01841","42.7211588","-71.1725647",""
"6800 West Bell Road","","Glendale","AZ","85308","33.638637","-112.2056183",""
"207 Maple Hill Road","","Shaftsbury","VT","05262","43.014305","-73.181068",""
"88 Florence Street","#1","New Bedford","MA","02740","41.635666","-70.9444673",""
"205 Harrison Avenue","","Louisville","KY","40243","38.242139","-85.540162",""
"1558 Goodfellow Road","","Groton","VT","05046","44.239583","-72.21828599999999",""
"1102 Spy Glass Drive","","Arnold","MD","21012","39.054956","-76.488569",""
"54 Gentry Court","","Annapolis","MD","21403","38.967842","-76.511608",""
"5624 Oakes Drive","","Brentwood","TN","37027","36.03940100000001","-86.773202",""
"5108 Bass Place Southeast","","Washington","DC","20019","38.8858279","-76.927776",""
"3436 Lexington Road","","Montgomery","AL","36111","32.342856","-86.298278",""
